id,user_id,contact_id,company_id,channel,direction,subject,content,content_preview,status,thread_id,parent_id,in_reply_to,references,scheduled_for,sent_at,delivered_at,opened_at,replied_at,campaign_id,batch_id,template_id,metadata,open_count,click_count,clicked_links,error_code,error_message,retry_count,created_at,updated_at
15,1,862,159,email,outbound,Helping {{company_name}} Drive Investment Success with Our Car Solution,"Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to a unique car solution that could bring real value to {{company_name}}’s operations and support your team’s dynamic work in delivering integrated investment strategies.

Our car is designed with efficiency, reliability, and comfort in mind—perfect for busy professionals like yourself and your team at New York Life Investments who often need to travel between meetings, client sites, or investment locations. By providing a dependable and smart transportation option, it can help save time, reduce stress, and enhance productivity, allowing you to focus more on what matters most: managing assets and creating long-term value for your clients.

I’d love to explore how this could fit into your current workflow and support your goals as Senior Managing Director and Head of Fixed Income Investors. Please let me know if you’d be open to a brief conversation.

Looking forward to connecting!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to a unique car solution that could bring real value to {{company_name}}’s operations and support your team’s dy",sent,,,,,,2025-09-11 19:52:47.39+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 24, ""source"": ""daily_outreach"", ""batchId"": 9}",0,0,[],,,0,2025-09-11 19:52:47.405141+00,2025-09-11 19:52:47.405141+00
16,1,860,159,email,outbound,Enhancing New York Life Investments’s Investment Solutions with Our Innovative Car,"Hi there Anthony,

I hope this message finds you well! I’m reaching out to introduce a unique opportunity that could complement New York Life Investments’s commitment to delivering integrated, forward-thinking investment solutions.

Our car is designed with cutting-edge technology and efficiency that can support your team’s mobility needs while reflecting the same values of reliability and long-term focus that New York Life Investments embodies in its asset management strategies. By integrating this vehicle into your operations, you could enhance your executives’ and specialists’ ability to connect seamlessly across your global boutiques and client meetings, ultimately supporting your mission to provide actionable expertise and powerful partnerships.

I’d love to explore how this solution can align with New York Life Investments’s goals and contribute to your continued success. Please let me know a convenient time for a brief conversation.

Warmly,  

User  

Take care,","Hi there Anthony,

I hope this message finds you well! I’m reaching out to introduce a unique opportunity that could complement New York Life Investments’s commitment to delivering integrated, forward",sent,,,,,,2025-09-11 19:54:09.806+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 21, ""source"": ""daily_outreach"", ""batchId"": 9}",0,0,[],,,0,2025-09-11 19:54:09.821334+00,2025-09-11 19:54:09.821334+00
17,1,2335,570,email,outbound,Helping {{company_name}} Drive Growth with Our Innovative Car Solution,"Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce a unique car solution that I believe could be a great fit for {{company_name}}’s mission of delivering privacy-focused, user-trusted services.

Our car technology is designed to seamlessly integrate with businesses that prioritize user experience and security. Just as {{company_name}} champions privacy and trust in search, our solution offers enhanced connectivity and data protection features that can help streamline your operations, improve customer engagement, and support your commitment to safeguarding user information.

I’d love to explore how we can tailor this to support {{company_name}}’s goals and help you continue standing out in the market.

Looking forward to hearing your thoughts, Cristina!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce a unique car solution that I believe could be a great fit for {{company_name}}’s mission of delivering priva",sent,,,,,,2025-09-11 19:54:31.905+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 25, ""source"": ""daily_outreach"", ""batchId"": 9}",0,0,[],,,0,2025-09-11 19:54:31.919838+00,2025-09-11 19:54:31.919838+00
18,1,855,155,email,outbound,Driving Glenmede’s Success with Tailored Automotive Solutions,"Hi there {{first_name}},

I hope this message finds you well. I’m reaching out to introduce a car solution that I believe could complement Glenmede’s boutique approach to personalized service and help streamline your team’s mobility with style and efficiency.

Understanding Glenmede’s commitment to delivering customized, client-centric financial planning, our vehicles offer not just reliable transportation but also advanced features that enhance productivity and comfort for busy executives like yourself and your team. Whether it’s for client visits, corporate events, or day-to-day travel, this car can support your business by providing a seamless, professional experience on the road.

I’d love to share more about how this can align with Glenmede’s values of excellence and long-term partnership, helping you maintain that personal touch while optimizing your operational needs.

Looking forward to the opportunity to connect, {{first_name}}.

Take care,  
{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well. I’m reaching out to introduce a car solution that I believe could complement Glenmede’s boutique approach to personalized service and help",sent,,,,,,2025-09-11 19:54:41.939+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 23, ""source"": ""daily_outreach"", ""batchId"": 9}",0,0,[],,,0,2025-09-11 19:54:41.953524+00,2025-09-11 19:54:41.953524+00
19,1,3489,770,email,outbound,Helping Incident IQ Boost Efficiency with Doggie,"Hi there, {{first_name}}!

I hope this message finds you well. I wanted to introduce you to Doggie, a smart solution designed to complement platforms like Incident IQ by enhancing workflow automation and streamlining communication across your IT, facilities, and help desk teams.

Doggie can help Incident IQ by automating routine tasks, improving ticket routing, and providing real-time insights that empower your teams to resolve issues faster and keep your school district operations running smoothly. With Incident IQ already unifying asset management, help desk ticketing, and facilities workflows, Doggie adds an extra layer of efficiency and responsiveness that supports your mission to focus on what matters most—students.

I’d love to explore how Doggie can integrate seamlessly with your platform to help Incident IQ continue transforming K-12 district operations with ease and precision.

Looking forward to connecting soon!

Warmly,  
{{full_sender_name}}","Hi there, {{first_name}}!

I hope this message finds you well. I wanted to introduce you to Doggie, a smart solution designed to complement platforms like Incident IQ by enhancing workflow automation ",sent,,,,,,2025-09-16 05:33:09.595+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 56, ""source"": ""daily_outreach"", ""batchId"": 16}",0,0,[],,,0,2025-09-16 05:33:09.609912+00,2025-09-16 05:33:09.609912+00
20,1,27904,2285,email,outbound,Hi Test7,Campaign email sent,,sent,,,,,,2025-11-11 14:00:06.785+00,,,,59,,,{},0,0,[],,,0,2025-11-11 14:00:06.785+00,2025-11-11 14:00:06.785+00
21,1,27907,2285,email,outbound,Hi Test7,Campaign email sent,,sent,,,,,,2025-11-11 14:00:14.649+00,,,,59,,,{},0,0,[],,,0,2025-11-11 14:00:14.649+00,2025-11-11 14:00:14.649+00
22,1,27905,2285,email,outbound,Hi Test7,Campaign email sent,,sent,,,,,,2025-11-11 14:00:34.722+00,,,,59,,,{},0,0,[],,,0,2025-11-11 14:00:34.722+00,2025-11-11 14:00:34.722+00
23,1,27879,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:00:35.249+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:00:35.249+00,2025-11-11 14:00:35.249+00
24,1,27905,2285,email,outbound,Hi Test7,Campaign email sent,,sent,,,,,,2025-11-11 14:02:19.313+00,,,,59,,,{},0,0,[],,,0,2025-11-11 14:02:19.313+00,2025-11-11 14:02:19.313+00
25,1,27879,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:02:21.713+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:02:21.713+00,2025-11-11 14:02:21.713+00
26,1,27878,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:09:29.391+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:09:29.391+00,2025-11-11 14:09:29.391+00
27,1,27878,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:11:26.613+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:11:26.613+00,2025-11-11 14:11:26.613+00
28,1,27880,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:18:30.529+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:18:30.529+00,2025-11-11 14:18:30.529+00
29,1,27880,2283,email,outbound,Freshen Up  with Premium Oranges,Campaign email sent,,sent,,,,,,2025-11-11 14:20:32.413+00,,,,65,,,{},0,0,[],,,0,2025-11-11 14:20:32.413+00,2025-11-11 14:20:32.413+00
410,5,28477,2419,email,outbound,Quick question for UrbanPro,"Hi Rakesh Kalra,

I noticed UrbanPro and wanted to reach out about how we might be able to help with your business needs.

Would you be open to a brief conversation?

Best regards","Hi Rakesh Kalra,

I noticed UrbanPro and wanted to reach out about how we might be able to help with your business needs.

Would you be open to a brief conversation?

Best regards",sent,,,,,,2025-12-05 21:12:00.285+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 560, ""source"": ""daily_outreach"", ""batchId"": 116}",0,0,[],,,0,2025-12-05 21:12:00.30239+00,2025-12-05 21:12:00.30239+00
