id,user_id,name,status,sender_profile_id,strategic_profile_id,target_customer_profile_id,start_date,end_date,duration_days,daily_lead_target,total_leads_generated,response_rate,created_at,updated_at,contact_list_id,subject,body,prompt,tone,offer_type,product_id,send_time_preference,schedule_date,schedule_time,timezone,autopilot_enabled,autopilot_settings,max_emails_per_day,delay_between_emails,track_emails,unsubscribe_link,requires_human_review,email_template_id,generation_type
36,1,asdf4444,scheduled,,,,2025-11-02 18:14:23.692+00,2025-11-16 18:14:23.692+00,14,5,0,0,2025-11-02 18:14:23.710449+00,2025-11-02 18:14:23.710449+00,46,asdf4444,asdf,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
37,1,Freshen Up {{contact_company_name}} with Premium Oranges,scheduled,,,,2025-11-02 18:39:27.028+00,2025-11-16 18:39:27.028+00,14,5,0,0,2025-11-02 18:39:27.049971+00,2025-11-02 18:39:27.049971+00,47,Freshen Up {{contact_company_name}} with Premium Oranges,"Hi {{first_name}},  

I hope this email finds you well! I wanted to reach out because I believe that the vibrant community work you’re doing at {{contact_company_name}} aligns perfectly with our mission to provide fresh, high-quality oranges that can brighten up any organization’s day. 

As the founder, I know you’re always looking for ways to enhance your offerings and support your team. Our oranges are not only delicious but also packed with nutrients that can boost morale and keep everyone healthy and energized. It sounds like a small thing, but the right snacks can really make a difference!

If you’re interested, I’d love to discuss how we can partner up and bring some sunshine to {{contact_company_name}}. Let me know a good time for you, or feel free to reply right here!

Looking forward to hearing from you!

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell oranges,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
38,1,Elevate Student Success at {{contact_company_name}} with Our Grapes,scheduled,,,,2025-11-02 19:18:19.466+00,2025-11-16 19:18:19.466+00,14,5,0,0,2025-11-02 19:18:19.482765+00,2025-11-02 19:18:19.482765+00,48,Elevate Student Success at {{contact_company_name}} with Our Grapes,"Hi {{first_name}},

I hope this email finds you well! I'm reaching out because I truly admire the work you're doing at {{contact_company_name}} as the Founder. Your commitment to closing the opportunity gap and preparing students for success is inspiring.

I wanted to chat about how our premium grapes can add a fresh twist to your programs. They’re not just delicious, but they also promote healthy eating habits among students. I believe integrating them into your initiatives could enhance the overall experience you're providing.

If you’re interested, I’d love to discuss how we can collaborate to bring this idea to life at {{contact_company_name}}. 

Looking forward to hearing from you!

Cheers,  
{{sender_full_name}}  
{{sender_company_name}}",sell grapes,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
39,1,Boost Student Engagement at {{contact_company_name}} with Fresh Mangos!,scheduled,,,,2025-11-02 19:42:02.777+00,2025-11-16 19:42:02.777+00,14,5,0,0,2025-11-02 19:42:02.795848+00,2025-11-02 19:42:02.795848+00,48,Boost Student Engagement at {{contact_company_name}} with Fresh Mangos!,"Hi {{first_name}},

I hope this email finds you well! I wanted to reach out because I believe there’s a sweet opportunity for {{contact_company_name}} to enhance student engagement with something a little different – fresh mangos!

As the Founder, your role in shaping innovative strategies for student success is evident, and I think adding a tropical twist to your programs could really spark interest and excitement. Imagine incorporating mangos into healthy snacks or even team-building activities! 

If you're open to it, I'd love to chat about how we can bring this idea to life at {{contact_company_name}}. Let me know a good time for you, or feel free to drop me a line at {{contact_email}}.

Looking forward to hearing from you!

Best,  
{{sender_full_name}}  
{{sender_first_name}}  
{{sender_company_name}}",sell mangos,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
40,1,Fresh Grapes for {{contact_company_name}}’s Success,scheduled,,,,2025-11-02 20:36:38.451+00,2025-11-16 20:36:38.451+00,14,5,0,0,2025-11-02 20:36:38.471578+00,2025-11-02 20:36:38.471578+00,48,Fresh Grapes for {{contact_company_name}}’s Success,"Hi {{first_name}}, 

I hope this message finds you well! As the Vice President of Learning Products and Services at {{contact_company_name}}, I know you're always on the lookout for innovative ways to support your students. 

I wanted to share some exciting news about our premium grapes that could be a great addition to your programs. They're not just tasty; they're perfect for healthy snacks during learning sessions, promoting better focus and engagement among students. 

If you’re interested, I’d love to chat more about how our grapes could fit into your initiatives at {{contact_company_name}}. Just let me know a good time for you!

Looking forward to hearing from you!

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell grapes,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
41,1,Spreading Joy at {{contact_company_name}} with Our Mission,scheduled,,,,2025-11-02 21:06:09.187+00,2025-11-16 21:06:09.187+00,14,5,0,0,2025-11-02 21:06:09.211225+00,2025-11-02 21:06:09.211225+00,48,Spreading Joy at {{contact_company_name}} with Our Mission,"Hi {{first_name}},

I hope this message finds you well! As the Vice President of Learning Products and Services at {{contact_company_name}}, you play a vital role in shaping the experiences of students, and that's something I truly admire.

At {{sender_company_name}}, we believe in the transformative power of happiness and faith, especially through innovative teaching strategies. I’d love to chat about how we can collaborate to bring even more joy and success to the students you serve.

If you're interested, let's find a time to connect. I’d be thrilled to hear your thoughts!

Wishing you peace and positivity,

{{sender_full_name}}  
{{sender_company_name}}",sell happiness with Jesus,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
42,1,Hi,scheduled,,,,2025-11-02 21:33:38.172+00,2025-11-16 21:33:38.172+00,14,5,0,0,2025-11-02 21:33:38.189895+00,2025-11-02 21:33:38.189895+00,48,Hi,Go bulls,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
43,1,Hi,scheduled,,,,2025-11-02 21:42:50.752+00,2025-11-16 21:42:50.752+00,14,5,0,0,2025-11-02 21:42:50.771994+00,2025-11-02 21:42:50.771994+00,48,Hi,Joe,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
44,5,Dive into Adventure with Standup Paddle Boards for {{contact_company_name}},active,,,,2025-11-02 22:45:19.379+00,2025-11-16 22:45:00+00,14,5,0,0,2025-11-02 22:41:00.867752+00,2025-11-02 22:45:19.379+00,49,Dive into Adventure with Standup Paddle Boards for {{contact_company_name}},"Hi {{first_name}},  

I hope this email finds you well! I’m reaching out because I think there’s an exciting opportunity for {{contact_company_name}} to engage your students in a whole new way. Standup paddle boarding is not just a fun activity; it’s a fantastic way to promote teamwork, fitness, and outdoor learning.  

As a {{contact_role}}, I know you’re always looking for innovative ways to inspire the next generation. Our standup paddle boards offer a unique blend of adventure and education that could really resonate with your students. Imagine them learning about buoyancy, balance, and even teamwork while enjoying the great outdoors!  

If this sounds interesting, I’d love to chat more about how we can work together to bring this experience to your programs. Let me know if you’re up for a quick call or if there’s a good time to connect.  

Looking forward to hearing from you!  

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell standup paddle boards,default,none,,scheduled,2025-11-02 22:45:00,17:45,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 300, ""delayBetweenEmails"": 3}",300,3,t,f,t,,merge_field
45,5,Boost Engagement at {{contact_company_name}} with Our Carburators,active,,,,2025-11-02 23:19:07.429+00,2025-11-16 23:19:00+00,14,5,0,0,2025-11-02 23:17:16.771604+00,2025-11-02 23:19:07.429+00,49,Boost Engagement at {{contact_company_name}} with Our Carburators,"Hi {{first_name}},  

I hope this email finds you well! I’m reaching out because I believe that the innovative work you’re doing at {{contact_company_name}} as the {{contact_role}} could really benefit from our high-quality carburators.  

We’ve seen how effective our products can be in enhancing performance, and I think they could be a great fit for your projects aimed at inspiring young minds in STEM. If you're curious, I’d love to share some insights on how our carburators can help streamline your operations and engage students even more effectively.  

Let me know if you’d like to chat or if there’s a convenient time for a quick call. Looking forward to hearing from you!  

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell car carburators,default,none,,scheduled,2025-11-02 23:19:00,18:19,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 3, ""delayBetweenEmails"": 5}",3,5,t,t,t,,merge_field
46,1,Elevate Student Success at {{contact_company_name}} with Our Clams,active,,,,2025-11-03 00:53:03.289+00,2025-11-17 00:53:00+00,14,5,0,0,2025-11-03 00:49:05.63948+00,2025-11-03 00:53:03.289+00,48,Elevate Student Success at {{contact_company_name}} with Our Clams,"Hi {{first_name}},  

I hope this email finds you well! I'm reaching out to discuss an exciting opportunity for {{contact_company_name}} that can enhance your mission of closing the opportunity gap in education. As the Founder, your vision for innovative teaching strategies truly stands out, and I believe we have something that aligns perfectly with your goals.  

At {{sender_company_name}}, we specialize in providing high-quality clams that can be incorporated into engaging educational programs. They not only promote healthy eating but also offer a unique way to teach students about sustainability and nutrition. It’s a fun and interactive way to get students involved!  

I’d love to chat more about how our clams can support the valuable work you’re doing at {{contact_company_name}}. Would you be open to a quick call or meeting?  

Looking forward to connecting!  

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell clams,default,none,,scheduled,2025-11-03 00:53:00,19:53,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""23:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 4}",30,4,t,f,t,,merge_field
47,1,Elevate {{contact_company_name}}'s Learning Experience,scheduled,,,,2025-11-03 01:12:04.734+00,2025-11-17 01:12:04.734+00,14,5,0,0,2025-11-03 01:12:04.754559+00,2025-11-03 01:12:04.754559+00,48,Elevate {{contact_company_name}}'s Learning Experience,"Hi {{first_name}},

I hope this message finds you well! As the CEO of {{contact_company_name}}, I know you're always looking for innovative ways to enhance your K-12 STEM curriculum and support your teachers. 

At Accelerate Learning, we specialize in providing whitelabel coding and educational platforms designed to engage students through hands-on, inquiry-based programs. I believe our solutions could really complement the fantastic work you're already doing.

I’d love to chat about how we can help you take your offerings to the next level. Let me know a good time for you to connect, or feel free to reply to this email.

Looking forward to hearing from you!

Best,  
{{sender_full_name}}  
{{sender_company_name}}",sell whitelabel coding and edu platform,default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
48,1,Elevate {{contact_company_name}}'s Learning Experience,active,,,,2025-11-03 01:15:36.163+00,2025-11-17 01:15:00+00,14,5,0,0,2025-11-03 01:12:50.589064+00,2025-11-03 01:15:36.163+00,50,Elevate {{contact_company_name}}'s Learning Experience,"Hi {{first_name}},

I hope this message finds you well! As the CEO of {{contact_company_name}}, I know you're always looking for innovative ways to enhance your K-12 STEM curriculum and support your teachers. 

At Accelerate Learning, we specialize in providing whitelabel coding and educational platforms designed to engage students through hands-on, inquiry-based programs. I believe our solutions could really complement the fantastic work you're already doing.

I’d love to chat about how we can help you take your offerings to the next level. Let me know a good time for you to connect, or feel free to reply to this email.

Looking forward to hearing from you!

Best,  
{{sender_full_name}}  
{{sender_company_name}}","",default,none,,scheduled,2025-11-03 01:15:00,20:15,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""22:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 14}",30,14,t,f,t,,merge_field
53,1,asdf,active,,37,,2025-11-04 05:48:17.643+00,2025-11-18 05:45:00+00,14,5,0,0,2025-11-04 05:47:44.454828+00,2025-11-04 05:48:17.643+00,48,asdf,asdf,"",silly,hormozi,37,scheduled,2025-11-04 05:45:00,00:45,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""00:12""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 4}",30,4,f,t,t,,merge_field
61,1,Hi Test9,completed,27,,,2025-11-08 23:33:13.207+00,,14,5,0,0,2025-11-08 17:09:16.093803+00,2025-11-08 23:37:29.718+00,48,Hi Test9,Hi there,"",silly,hormozi,,scheduled,2025-11-08 17:10:00,12:10,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": true, ""endTime"": ""20:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": true, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 3, ""delayBetweenEmails"": 2}",3,2,f,t,f,,merge_field
87,5,"Hi {{first_name}}, Your own CS Edu Platform with our White-label Partnership ",completed,14,,,2025-11-19 15:28:00.843+00,,14,5,0,0,2025-11-13 00:45:31.567292+00,2025-11-19 16:18:56.427+00,51,"Hi {{first_name}}, Your own CS Edu Platform with our White-label Partnership ","Hi {{first_name}},

I'm Jonathan, founder of Codetribe.
I started a Codetribe to help nonprofits in Africa teach kids and teens how to code.

Overtime this grew into a full-scale Computer Science learning platform with easy-to-use lesson-building.

Two Reasons This May Interest You:

1. In late 2024 we decided to white-label this and allow select organizations to use it.
We’ve built a dashboard that allows each “tenant” to customize and launch their own platform in minutes - This means the entire platform on YOUR DOMAIN and with your logo.

2. Use our Curriculum and Add Your Own:
We’ve made it incredibly easy to add all types of coding lessons, as well as interactive and practical coding projects.

a. We’re expanding AI Lesson Generation to assist you with this.
b. Including an ultra-powerful “Display Engine” which allows anyone to build (with AI on Replit ) and integrate any type of learning environment in minutes - Hard to explain, but very cool! 


PRICING:

You may be thinking “That sounds too good to be true” or “Probably too expensive.” 

Well, you’ll be pleased to know our focus is on empowering other organizations - Helping YOU grow and serve YOUR customers better.

Our pricing packages are built for flexibility and scale, as you’ll see from just 3 of our CORE packages below:

Monthly CORE Platform:

1,000 users  |  $200 ( $0.20 per user)
3,000 users  |  $480 ( $0.16 per user)
10,000 users  | $960 ( $0.096 per user)


OUR ROADMAP - EMPOWERING YOU WITH A.I.

We’ve been experimenting with how to allow educators to build the CS and Coding Lessons they want in 10% of the time.


We’ve focused on:
1. Making it easier for the AI models by offering them simpler templates to build on. ( Doing all the fancy styling with templates and giving them the mission of core lesson-building.)

2. Creating pre-built lesson environments ( Display Engines) for those templates to plug into.

The result is incredibly fun and interactive lessons ( I will send some examples in my next email.)

This structure allows teachers to easily iterate and tweak new courses with AI. 

OTHER BENEFITS:

A. On-boarding & LMS UI:
The slick on-boarding UI for Teachers and learners is designed to accommodate multiple classes, topics and teachers.

B. Manage Schools:
This is by far the most insane part.
We’ve built “Schools” into the white-label. This means you can sign-up dozens of schools and each school is segmented with its own name, roster and teachers.
It comes OOTB ( out-of-the-box) with the White-label packages.


C. 50% IMPACT DISCOUNT:
For non-profits and also businesses in 121* developing  countries we offer a no-questions-asked 50% discount on core packages.

*International Co-operative Alliance (ICA) List of developing countries 2024

For state-level or large-scale roll-outs please get in touch.



I’d also be happy to send you our updated price-list and demo video.

Have an awesome day!

Jonathan

P.S.

If you think someone you know may need this, please forward it to them (or shoot me a reply and I’ll reach out.) 
","",default,none,,scheduled,2025-11-13 00:47:00,19:47,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""23:00"", ""startTime"": ""09:00""}}, ""enabled"": true, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 18, ""delayBetweenEmails"": 4}",28,5,f,f,t,,merge_field
50,1,Uncorking Something Special for You,active,,,,2025-11-03 01:41:59.504+00,2025-11-17 01:41:00+00,14,5,0,0,2025-11-03 01:39:27.464254+00,2025-11-03 01:41:59.504+00,48,Uncorking Something Special for You,"Hi {{first_name}},

I hope this email finds you well! 

I wanted to reach out and share something that I think could add a delightful touch to your upcoming events at Accelerate Learning. As you know, Californian wines have a unique charm that can elevate any gathering, and I’d love to introduce you to some exquisite options that could resonate with your team and partners.

Whether it's a casual get-together or a celebratory occasion, a well-selected wine can really enhance the experience. I'd be happy to chat about some fantastic varietals that would be perfect for your next event or even offer a tasting session to explore the possibilities together.

Let me know if you’re interested, and we can set up a time to connect!

Cheers to new experiences! 

Best,  

{{sender_first_name}}  
{{sender_company_name}}",sell Californian wine ,default,none,,scheduled,2025-11-03 01:41:00,20:41,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": true, ""endTime"": ""22:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 4}",30,4,t,f,t,,ai_unique
51,1,asdf 9,active,,31,,2025-11-04 05:45:18.107+00,2025-11-18 05:45:00+00,14,5,0,0,2025-11-04 05:42:15.664114+00,2025-11-04 05:45:18.107+00,48,asdf 9,asdf 9,dog walking,silly,hormozi,31,scheduled,2025-11-04 05:45:00,00:45,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""00:12""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 4}",30,4,f,t,t,,merge_field
52,1,do it,active,,37,,2025-11-04 05:47:42.954+00,2025-11-18 05:45:00+00,14,5,0,0,2025-11-04 05:47:23.296856+00,2025-11-04 05:47:42.954+00,48,do it,for me,"",silly,hormozi,37,scheduled,2025-11-04 05:45:00,00:45,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""00:12""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}}, ""enabled"": false, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 30, ""delayBetweenEmails"": 4}",30,4,f,t,t,,merge_field
81,1,"Hi {{first_name}}, Boost {{contact_company_name}}’s Offerings with Delicious Papayas",completed,27,,,2025-11-12 22:27:22.222+00,2025-11-26 22:27:00+00,14,5,0,0,2025-11-12 22:27:04.352538+00,2025-11-13 14:11:13.488+00,48,"Hi {{first_name}}, Boost {{contact_company_name}}’s Offerings with Delicious Papayas","Hi {{first_name}},

I hope this message finds you well! I wanted to reach out because I think adding fresh papayas to {{contact_company_name}}’s inventory could really elevate your offerings. They’re not only a crowd favorite but also packed with health benefits that your customers will love.

If you’re looking for a reliable source for high-quality papayas, I’d love to chat about how we can help. I’m sure they would make a great addition to your products!

Let me know if you’re interested, and we can set up a time to discuss.

Cheers,  
Demo User",sell papayas,default,none,,scheduled,2025-11-12 22:27:00,17:27,America/New_York,t,"{""days"": {""friday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""monday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""sunday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""tuesday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""saturday"": {""enabled"": false, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""thursday"": {""enabled"": true, ""endTime"": ""17:00"", ""startTime"": ""09:00""}, ""wednesday"": {""enabled"": true, ""endTime"": ""18:00"", ""startTime"": ""09:00""}}, ""enabled"": true, ""delayUnit"": ""minutes"", ""maxEmailsPerDay"": 3, ""delayBetweenEmails"": 5}",3,5,f,f,t,,merge_field
